Section,Variable Name,Data Type,Description,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Stats,covid_adm_age_65_to_74,Integer,Number of adult patients 65-74 years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed COVID-19 at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Stats,covid_adm_age_75_plus,Integer,Number of adult patients 75+ years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed COVID-19 at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Stats,covid_adm_age_unknown,Integer,Number of patients unknown age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed COVID-19 at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza Stats,flu_hospitalized,Integer,Number of adult and pediatric patients hospitalized in an inpatient bed who have laboratory-confirmed influenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza Stats,flu_adult_hosp,Integer,Number of patients hospitalized in an adult inpatient bed who have laboratory-confirmed influenza.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza Stats,flu_ped_hosp,Integer,"Number of patients hospitalized in a pediatric inpatient bed, including NICU, PICU, newborn, and nursery, who have laboratory-confirmed influenza. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza Stats,flu_icu,Integer,Number of adult and pediatric patients hospitalized in an ICU bed who have laboratory-confirmed influenza. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza Stats,flu_adult_icu,Integer,Number of patients hospitalized in an adult ICU bed who have laboratory-confirmed influenza.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza Stats,flu_ped_icu,Integer,Number of patients hospitalized in a pediatric ICU bed who have laboratory-confirmed influenza. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza Stats,flu_adm,Integer,"Number of laboratory-confirmed influenza admissions, all ages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza Stats,flu_adult_adm,Integer,Number of adult patients 18+ years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed influenza at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza Stats,flu_ped_adm,Integer,Number of pediatric patients 0-17 years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed influenza at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza Stats,flu_adm_age_0_to_4,Integer,Number of pediatric patients 0-4 years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed influenza at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza Stats,flu_adm_age_5_to_17,Integer,Number of pediatric patients 5-17 years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed influenza at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza Stats,flu_adm_age_18_to_49,Integer,Number of adult patients 18-49 years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed influenza at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza Stats,flu_adm_age_50_to_64,Integer,Number of adult patients 50-64 years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed influenza at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza Stats,flu_adm_age_65_to_74,Integer,Number of adult patients 65-74 years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed influenza at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza Stats,flu_adm_age_75_plus,Integer,Number of adult patients 75+ years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed influenza at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza Stats,flu_adm_age_unknown,Integer,Number of patients of unknown age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed influenza at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSV Stats,rsv_hospitalized,Integer,Number of adult and pediatric patients hospitalized in an inpatient bed who have laboratory-confirmed RSV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSV Stats,rsv_adult_hosp,Integer,Number of patients hospitalized in an adult inpatient bed who have laboratory-confirmed RSV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSV Stats,rsv_ped_hosp,Integer,"Number of patients hospitalized in a pediatric inpatient bed, including NICU, PICU, newborn, and nursery, who have laboratory-confirmed RSV.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSV Stats,rsv_icu,Integer,Number of adult and pediatric patients hospitalized in an ICU bed who have laboratory-confirmed RSV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSV Stats,rsv_adult_icu,Integer,Number of patients hospitalized in an adult ICU bed who have laboratory-confirmed RSV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSV Stats,rsv_ped_icu,Integer,Number of patients hospitalized in a pediatric ICU bed who have laboratory-confirmed RSV. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSV Stats,rsv_adm,Integer,"Number of laboratory-confirmed rsv admissions, all ages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSV Stats,rsv_adult_adm,Integer,Number of adult patients 18+ years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed RSV at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSV Stats,rsv_ped_adm,Integer,Number of pediatric patients 0-17 years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed RSV at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSV Stats,rsv_adm_age_0_to_4,Integer,Number of pediatric patients 0-4 years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed RSV at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSV Stats,rsv_adm_age_5_to_17,Integer,Number of pediatric patients 5-17 years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed RSV at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSV Stats,rsv_adm_age_18_to_49,Integer,Number of adult patients 18-49 years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed RSV at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSV Stats,rsv_adm_age_50_to_64,Integer,Number of adult patients 50-64 years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed RSV at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSV Stats,rsv_adm_age_65_to_74,Integer,Number of adult patients 65-74 years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed RSV at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSV Stats,rsv_adm_age_75_plus,Integer,Number of adult patients 75+ years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed RSV at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSV Stats,rsv_adm_age_unknown,Integer,Number of patients unknown age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed RSV at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
